level,word,phonetic,pos,meaning,example,example_zh
CET4,campaign,kæm'peɪn,n./v.,运动；竞选活动；开展活动,They started a campaign to protect the river.,他们发起了一场保护河流的运动。
CET4,candidate,'kændɪdət,n.,候选人；应试者,There are five candidates for the job.,这份工作有五名候选人。
CET4,capable,'keɪpəbl,adj.,有能力的；能干的,She is capable of finishing the task alone.,她能独立完成这项任务。
CET4,capacity,kə'pæsəti,n.,容量；能力,The hall has a seating capacity of 800.,这座大厅可容纳 800 人。
CET4,capital,'kæpɪtl,n./adj.,首都；资本；大写的,Beijing is the capital of China.,北京是中国的首都。
CET4,career,kə'rɪə,n.,职业；事业,She wants a career in medicine.,她想从事医学职业。
CET4,casual,'kæʒuəl,adj.,随便的；非正式的；偶然的,Wear casual clothes to the picnic.,去野餐穿休闲衣服。
CET4,cause,kɔːz,n./v.,原因；导致,The heavy rain caused the flood.,大雨导致了洪水。
CET4,celebrate,'selɪbreɪt,v.,庆祝,We celebrated her birthday with a cake.,我们吃蛋糕庆祝她的生日。
CET4,central,'sentrəl,adj.,中心的；主要的,The hotel is in a central location.,这家酒店位于中心地段。
CET4,ceremony,'serəməni,n.,典礼；仪式,The graduation ceremony lasted two hours.,毕业典礼持续了两个小时。
CET4,certain,'sɜːtn,adj.,确定的；某些,I am certain that he will come.,我确定他会来。
CET4,challenge,'tʃælɪndʒ,n./v.,挑战,Learning a language is a challenge.,学一门语言是个挑战。
CET4,channel,'tʃænl,n.,频道；渠道；海峡,There is a good movie on this channel.,这个频道在播一部好电影。
CET4,chapter,'tʃæptə,n.,章；回,Read Chapter Three for tomorrow.,明天阅读第三章。
CET4,character,'kærəktə,n.,性格；角色；汉字,She has a strong and honest character.,她性格坚强诚实。
CET4,charge,tʃɑːdʒ,v./n.,收费；充电；指控,The museum charges no admission.,这家博物馆不收门票。
CET4,cheat,tʃiːt,v./n.,欺骗；作弊,It is wrong to cheat in exams.,考试作弊是不对的。
CET4,chemical,'kemɪkl,adj./n.,化学的；化学品,This factory produces chemical products.,这家工厂生产化工产品。
CET4,choice,tʃɔɪs,n.,选择；抉择,You have a choice between tea and coffee.,你可以在茶和咖啡之间选择。
CET4,circumstance,'sɜːkəmstæns,n.,情况；环境,Under no circumstances should you give up.,任何情况下你都不应放弃。
CET4,citizen,'sɪtɪzn,n.,公民；市民,Every citizen has the duty to obey the law.,每个公民都有守法的义务。
CET4,civil,'sɪvl,adj.,公民的；民用的；文明的,The civil service attracts many graduates.,公务员岗位吸引许多毕业生。
CET4,claim,kleɪm,v./n.,声称；索取；索赔,He claimed that he saw the accident.,他声称自己目击了那场事故。
CET4,classify,'klæsɪfaɪ,v.,分类；归类,The books are classified by subject.,这些书按学科分类。
CET4,climate,'klaɪmət,n.,气候；风气,The climate here is mild and wet.,这里气候温和湿润。
CET4,coach,kəʊtʃ,n./v.,教练；长途汽车；指导,The coach taught us a new strategy.,教练教了我们一个新战术。
CET4,collapse,kə'læps,v./n.,倒塌；崩溃,The old wall collapsed in the storm.,旧墙在暴风雨中倒塌了。
CET4,collect,kə'lekt,v.,收集；领取,He collects stamps as a hobby.,他收集邮票作为爱好。
CET4,college,'kɒlɪdʒ,n.,学院；大学,She entered college at the age of eighteen.,她十八岁进入大学。
CET4,combine,kəm'baɪn,v.,结合；联合,Combine business with pleasure.,把工作和娱乐结合起来。
CET4,comfort,'kʌmfət,n./v.,舒适；安慰,Her words comforted me.,她的话安慰了我。
CET4,command,kə'mɑːnd,v./n.,命令；掌握；指挥,She has a good command of English.,她精通英语。
CET4,commercial,kə'mɜːʃl,adj./n.,商业的；广告,The film was a commercial success.,这部电影商业上很成功。
CET4,commit,kə'mɪt,v.,犯（错）；承诺；投入,He committed himself to the project.,他全身心投入了这个项目。
CET4,committee,kə'mɪti,n.,委员会,The committee will meet on Monday.,委员会将在周一开会。
CET4,communicate,kə'mjuːnɪkeɪt,v.,交流；沟通；传达,We communicate by email.,我们通过电子邮件交流。
CET4,community,kə'mjuːnəti,n.,社区；群体,The library serves the whole community.,图书馆为整个社区服务。
CET4,companion,kəm'pæniən,n.,同伴；伴侣,Dogs are faithful companions.,狗是忠实的伙伴。
CET4,compare,kəm'peə,v.,比较；对照,Compare the two answers and choose the better one.,比较两个答案，选择更好的。
CET4,compete,kəm'piːt,v.,竞争；比赛,Hundreds of students competed for the prize.,数百名学生竞争这个奖项。
CET4,complain,kəm'pleɪn,v.,抱怨；投诉,He complained about the noise.,他抱怨噪音太大。
CET4,complete,kəm'pliːt,adj./v.,完整的；完成,Please complete the form in English.,请用英语填完这张表。
CET4,complex,'kɒmpleks,adj./n.,复杂的；综合体,The problem is more complex than it seems.,这个问题比看上去复杂。
CET4,compose,kəm'pəʊz,v.,组成；创作,Water is composed of hydrogen and oxygen.,水由氢和氧组成。
CET4,comprehension,ˌkɒmprɪ'henʃn,n.,理解；理解力,The test includes reading comprehension.,考试包括阅读理解。
CET4,concentrate,'kɒnsntreɪt,v.,集中；专心,Turn off your phone and concentrate on study.,关掉手机，专心学习。
CET4,concept,'kɒnsept,n.,概念；观念,It is hard to explain this concept simply.,很难简单解释这个概念。
CET4,concern,kən'sɜːn,v./n.,涉及；担忧；关心,The news concerns everyone in the city.,这个消息关系到全城每个人。
CET4,conclude,kən'kluːd,v.,得出结论；结束,We concluded that the plan was practical.,我们得出结论，这个计划可行。
CET4,condition,kən'dɪʃn,n.,条件；状况；环境,The car is in good condition.,这辆车状况良好。
CET4,conduct,kən'dʌkt,v./n.,进行；指挥；行为,Scientists conducted an experiment.,科学家们进行了一项实验。
CET4,conference,'kɒnfərəns,n.,会议；研讨会,She is attending a conference in Shanghai.,她正在上海参加会议。
CET4,confidence,'kɒnfɪdəns,n.,信心；信任,Practice will build your confidence.,练习会建立你的信心。
CET4,confirm,kən'fɜːm,v.,确认；证实,Please confirm your booking by email.,请通过电子邮件确认预订。
CET4,conflict,'kɒnflɪkt,n./v.,冲突；矛盾；抵触,The two schedules conflict.,这两个日程安排有冲突。
CET4,confuse,kən'fjuːz,v.,使困惑；混淆,The instructions confused me.,这些说明把我弄糊涂了。
CET4,connect,kə'nekt,v.,连接；联系,This road connects the two towns.,这条路连接两座城镇。
CET4,conscience,'kɒnʃəns,n.,良心；良知,His conscience told him to tell the truth.,他的良心告诉他要说真话。
CET4,consequence,'kɒnsɪkwəns,n.,后果；结果,Smoking has serious health consequences.,吸烟会带来严重的健康后果。
CET4,conservative,kən'sɜːvətɪv,adj.,保守的；守旧的,He has conservative views on fashion.,他对时尚持保守看法。
CET4,consider,kən'sɪdə,v.,考虑；认为,Please consider my suggestion.,请考虑我的建议。
CET4,consist,kən'sɪst,v.,由……组成,The team consists of five members.,这个团队由五名成员组成。
CET4,constant,'kɒnstənt,adj.,持续的；不变的,The machine needs constant care.,这台机器需要持续维护。
CET4,construct,kən'strʌkt,v.,建造；构筑,The bridge was constructed in 1998.,这座桥建于 1998 年。
CET4,consult,kən'sʌlt,v.,咨询；查阅,Consult a doctor if the pain continues.,如果疼痛持续，请咨询医生。
CET4,consume,kən'sjuːm,v.,消耗；消费,Cars consume a lot of fuel.,汽车消耗大量燃料。
CET4,contact,'kɒntækt,n./v.,接触；联系,Keep in contact with your friends.,和朋友保持联系。
CET4,contain,kən'teɪn,v.,包含；容纳,This box contains old photos.,这个盒子里装着旧照片。
CET4,content,'kɒntent,n./adj.,内容；满意的,The content of the book is interesting.,这本书的内容很有趣。
CET4,context,'kɒntekst,n.,上下文；背景,Guess the meaning of the word from the context.,根据上下文猜这个词的意思。
CET4,contract,'kɒntrækt,n./v.,合同；收缩,Both parties signed the contract.,双方签署了合同。
CET4,contrast,'kɒntrɑːst,n./v.,对比；反差,The contrast between the two photos is clear.,两张照片的对比很明显。
CET4,contribute,kən'trɪbjuːt,v.,贡献；捐助；促成,Everyone can contribute to the discussion.,每个人都可以为讨论做出贡献。
CET4,control,kən'trəʊl,v./n.,控制；管理,The pilot controlled the plane safely.,飞行员安全地操控飞机。
CET4,convenient,kən'viːniənt,adj.,方便的；便利的,Online shopping is very convenient.,网上购物非常方便。
CET4,convey,kən'veɪ,v.,传达；运送,Words cannot convey my thanks.,言语无法表达我的感谢。
CET4,convince,kən'vɪns,v.,使确信；说服,He convinced me to join the club.,他说服我加入了俱乐部。
CET4,cooperate,kəʊ'ɒpəreɪt,v.,合作；配合,The two schools cooperate on research.,两所学校在研究方面合作。
CET4,cope,kəʊp,v.,应对；处理,She knows how to cope with stress.,她知道如何应对压力。
CET4,core,kɔː,n./adj.,核心；中心；核心的,Honesty is the core of friendship.,诚实是友谊的核心。
CET4,corporate,'kɔːpərət,adj.,公司的；企业的,He works in corporate finance.,他在企业财务部门工作。
CET4,correct,kə'rekt,adj./v.,正确的；改正,Please correct the spelling errors.,请改正拼写错误。
CET4,correspond,ˌkɒrə'spɒnd,v.,相符；通信,His actions do not correspond with his words.,他言行不一。
CET4,cost,kɒst,n./v.,成本；花费,The cost of living keeps rising.,生活成本不断上涨。
CET4,council,'kaʊnsl,n.,委员会；理事会,The city council approved the plan.,市议会批准了该计划。
CET4,count,kaʊnt,v./n.,数；计算；重要,Every minute counts before the exam.,考试前每一分钟都很重要。
CET4,courage,'kʌrɪdʒ,n.,勇气；胆量,It takes courage to admit mistakes.,承认错误需要勇气。
CET4,course,kɔːs,n.,课程；过程；路线,She took a course in public speaking.,她上了一门公众演讲课。
CET4,cover,'kʌvə,v./n.,覆盖；包括；封面,Snow covered the whole village.,雪覆盖了整个村庄。
CET4,crash,kræʃ,v./n.,碰撞；坠毁；崩溃,The two cars crashed at the crossing.,两辆车在路口相撞。
CET4,create,kri'eɪt,v.,创造；创作,Good teachers create a lively classroom.,好老师创造活跃的课堂。
CET4,creative,kri'eɪtɪv,adj.,有创造力的,Children are naturally creative.,孩子天生富有创造力。
CET4,crime,kraɪm,n.,罪行；犯罪,The police are fighting against crime.,警方正在打击犯罪。
CET4,crisis,'kraɪsɪs,n.,危机；关键时刻,The company survived the financial crisis.,公司挺过了金融危机。
CET4,criterion,kraɪ'tɪəriən,n.,标准；准则,Price is only one criterion for choice.,价格只是选择的标准之一。
CET4,critical,'krɪtɪkl,adj.,关键的；批评的；危急的,This is a critical moment in the project.,这是项目的关键时刻。
CET4,criticize,'krɪtɪsaɪz,v.,批评；指责,Don't criticize others without reason.,不要无端批评别人。
CET4,culture,'kʌltʃə,n.,文化；教养,Travel helps you understand other cultures.,旅行帮助你了解其他文化。
CET4,curious,'kjʊəriəs,adj.,好奇的,The child is curious about everything.,这个孩子对一切都好奇。
CET4,current,'kʌrənt,adj./n.,当前的；水流；电流,What is your current address?,你现在的地址是什么？
CET4,curve,kɜːv,n./v.,曲线；转弯；弯曲,The road curves to the left.,这条路向左转弯。
CET4,custom,'kʌstəm,n.,风俗；习惯,It is a local custom to eat dumplings in winter.,冬天吃饺子是当地习俗。
CET4,cycle,'saɪkl,n.,循环；周期；自行车,The seasons follow a natural cycle.,四季遵循自然循环。
CET4,daily,'deɪli,adj./adv.,每日的；每天,Exercise should be part of your daily routine.,锻炼应成为你日常生活的一部分。
CET4,damage,'dæmɪdʒ,v./n.,损害；损坏,The storm damaged many houses.,暴风雨毁坏了许多房屋。
CET4,deadline,'dedlaɪn,n.,截止日期；最后期限,The deadline for the essay is Friday.,论文截止日期是周五。
CET4,debate,dɪ'beɪt,n./v.,辩论；讨论,The class held a debate on the topic.,班级就此话题举行了一场辩论。
CET4,decade,'dekeɪd,n.,十年,The city has changed greatly in the past decade.,过去十年这座城市变化很大。
CET4,declare,dɪ'kleə,v.,宣布；声明；申报,The government declared a public holiday.,政府宣布了一个公共假日。
CET4,decline,dɪ'klaɪn,v./n.,下降；衰退；婉拒,Sales declined sharply last month.,上个月销售额急剧下降。
CET4,decorate,'dekəreɪt,v.,装饰；装修,They decorated the room with balloons.,他们用气球装饰房间。
CET4,defeat,dɪ'fiːt,v./n.,击败；失败,Our team defeated the opponent 3-0.,我们队以 3 比 0 击败对手。
CET4,defend,dɪ'fend,v.,保卫；辩护,Soldiers defend their country.,士兵保卫自己的国家。
CET4,define,dɪ'faɪn,v.,定义；界定,Can you define this term?,你能定义这个术语吗？
CET4,degree,dɪ'ɡriː,n.,程度；学位；度数,She has a degree in economics.,她拥有经济学学位。
CET4,delay,dɪ'leɪ,v./n.,推迟；耽搁,The flight was delayed by fog.,航班因大雾延误。
CET4,deliver,dɪ'lɪvə,v.,递送；发表；交付,The postman delivers mail every morning.,邮递员每天早晨送信。
CET4,demand,dɪ'mɑːnd,v./n.,要求；需求,The job demands patience.,这份工作需要耐心。
CET4,demonstrate,'demənstreɪt,v.,证明；演示；示威,The teacher demonstrated the experiment.,老师演示了实验。
CET4,dense,dens,adj.,密集的；浓厚的,The city center is dense with buildings.,市中心建筑密集。
CET4,deny,dɪ'naɪ,v.,否认；拒绝,He denied breaking the window.,他否认打破了窗户。
CET4,depart,dɪ'pɑːt,v.,离开；出发,The train departs at six.,火车六点出发。
CET4,depend,dɪ'pend,v.,依靠；取决于,Success depends on your effort.,成功取决于你的努力。
CET4,deposit,dɪ'pɒzɪt,v./n.,存放；存款；押金,You need to pay a deposit to rent the bike.,租自行车需要付押金。
CET4,depress,dɪ'pres,v.,使沮丧；使萧条,Rainy days depress some people.,雨天让一些人情绪低落。
CET4,describe,dɪ'skraɪb,v.,描述；形容,Can you describe the man you saw?,你能描述一下你看到的那个人吗？
CET4,deserve,dɪ'zɜːv,v.,应得；值得,You deserve a rest after hard work.,辛苦工作后你该休息一下。
CET4,design,dɪ'zaɪn,v./n.,设计；构思；图案,She designed the poster herself.,她亲自设计了海报。
CET4,desire,dɪ'zaɪə,n./v.,渴望；愿望,He has a strong desire to learn.,他有强烈的学习愿望。
CET4,despite,dɪ'spaɪt,prep.,尽管,"Despite the rain, they went hiking.",尽管下雨，他们还是去远足了。
CET4,destroy,dɪ'strɔɪ,v.,破坏；毁灭,The fire destroyed the old library.,大火烧毁了旧图书馆。
CET4,detail,'diːteɪl,n.,细节；详情,Please give me more details about the plan.,请告诉我计划的更多细节。
CET4,detect,dɪ'tekt,v.,察觉；发现；探测,The test can detect the virus early.,这项检测可以早期发现病毒。
CET4,determine,dɪ'tɜːmɪn,v.,决定；确定,Your attitude determines your progress.,你的态度决定你的进步。
CET4,develop,dɪ'veləp,v.,发展；开发；培养,Reading develops your thinking ability.,阅读培养你的思维能力。
CET4,device,dɪ'vaɪs,n.,设备；装置,This device measures air pressure.,这个装置测量气压。
CET4,devote,dɪ'vəʊt,v.,献身；致力于,She devoted herself to teaching.,她献身于教育事业。
CET4,differ,'dɪfə,v.,不同；相异,Tastes differ from person to person.,每个人口味不同。
CET4,digital,'dɪdʒɪtl,adj.,数字的；数码的,Digital books are easy to carry.,电子书携带方便。
CET4,direction,də'rekʃn,n.,方向；指导；说明,The map shows the direction of the wind.,地图显示了风向。
CET4,disappear,ˌdɪsə'pɪə,v.,消失；不见,The sun disappeared behind the clouds.,太阳消失在云层后面。
CET4,disappoint,ˌdɪsə'pɔɪnt,v.,使失望,The result disappointed the whole team.,结果让整个团队失望。
CET4,discover,dɪ'skʌvə,v.,发现；发觉,Scientists discovered a new planet.,科学家发现了一颗新行星。
CET4,discuss,dɪ'skʌs,v.,讨论；商量,Let's discuss the plan together.,我们一起讨论这个计划吧。
CET4,disease,dɪ'ziːz,n.,疾病,Exercise helps prevent disease.,锻炼有助于预防疾病。
CET4,display,dɪ'spleɪ,v./n.,展示；陈列；显示器,The shop displays the new phones.,商店展示了新款手机。
CET4,distance,'dɪstəns,n.,距离；远方,The school is within walking distance.,学校在步行可达的距离内。
CET4,distinct,dɪ'stɪŋkt,adj.,清晰的；明显的；不同的,The two plants are quite distinct.,这两种植物差别明显。
CET4,distribute,dɪ'strɪbjuːt,v.,分发；分配；分布,Volunteers distributed food to the homeless.,志愿者向无家可归者分发食物。
CET4,district,'dɪstrɪkt,n.,地区；行政区,They live in a quiet district of the city.,他们住在城市一个安静的街区。
CET4,disturb,dɪ'stɜːb,v.,打扰；扰乱,Please do not disturb while I study.,我学习时请不要打扰。
CET4,divide,dɪ'vaɪd,v.,分开；分配；除,The teacher divided the class into four groups.,老师把全班分成四组。
CET4,document,'dɒkjumənt,n.,文件；文档,Sign the document before you leave.,离开前签署这份文件。
CET4,domestic,də'mestɪk,adj.,国内的；家庭的；驯养的,Domestic flights are cheaper this month.,本月国内航班更便宜。
CET4,donate,dəʊ'neɪt,v.,捐赠；捐献,He donated blood twice a year.,他每年献血两次。
CET4,double,'dʌbl,adj./v.,两倍的；加倍,The price has doubled in five years.,五年里价格翻了一番。
CET4,doubt,daʊt,n./v.,怀疑；疑问,There is no doubt that she will win.,毫无疑问她会赢。
CET4,draft,drɑːft,n./v.,草稿；起草,Write a draft before the final essay.,写定稿前先写个草稿。
CET4,drag,dræɡ,v.,拖；拉；拖动,He dragged the heavy box across the floor.,他拖着沉重的箱子穿过地板。
CET4,dramatic,drə'mætɪk,adj.,戏剧性的；巨大的；急剧的,There was a dramatic change in the weather.,天气发生了急剧变化。
CET4,draw,drɔː,v.,画；拉；吸引；得出,She drew a picture of the sunset.,她画了一幅日落图。
CET4,drop,drɒp,v./n.,掉落；下降；滴,The temperature dropped below zero.,气温降到了零度以下。
CET4,due,djuː,adj.,到期的；应有的；由于,The rent is due on the first day of the month.,房租每月一号到期。
CET4,duty,'djuːti,n.,责任；义务；职责,It is our duty to protect the environment.,保护环境是我们的责任。
CET4,dynamic,daɪ'næmɪk,adj.,有活力的；动态的,She is a dynamic and creative leader.,她是一位充满活力和创造力的领导者。
CET4,eager,'iːɡə,adj.,渴望的；热切的,The students are eager to learn new words.,学生们渴望学习新单词。
CET4,earn,ɜːn,v.,赚得；赢得,He earns money by teaching English.,他靠教英语赚钱。
CET4,economic,ˌiːkə'nɒmɪk,adj.,经济的；经济学的,The country faces economic growth this year.,今年该国经济将实现增长。
CET4,economy,ɪ'kɒnəmi,n.,经济；节约,Tourism is important to the local economy.,旅游业对当地经济很重要。
CET4,edition,ɪ'dɪʃn,n.,版本；版次,This is the latest edition of the dictionary.,这是词典的最新版本。
CET4,educate,'edjukeɪt,v.,教育；培养,Parents educate their children at home and school.,父母在家和学校共同教育孩子。
CET4,effect,ɪ'fekt,n.,效果；影响,The medicine had a quick effect.,这药很快见效。
CET4,efficient,ɪ'fɪʃnt,adj.,高效的；效率高的,Email is an efficient way to communicate.,电子邮件是高效的沟通方式。
CET4,effort,'efət,n.,努力；尝试,Learning takes time and effort.,学习需要时间和努力。
CET4,elect,ɪ'lekt,v.,选举；推选,The class elected her as monitor.,全班选她当班长。
CET4,electric,ɪ'lektrɪk,adj.,电的；用电的,Electric cars are becoming popular.,电动汽车越来越受欢迎。
